YEAR,Car_Age,MILEAGE,CAR_PRICE
2022,,3688,32995
2022,,5567,27995
2020,,40786,25312
2019,,59910,21147
2020,,41789,22995
2020,,23247,26988
2021,,42142,23300
2020,,42503,23997
2019,,85856,20761
2019,,104577,21165
2020,,16500,23800
2019,,89565,19987
2021,,12087,23831
2023,,3482,26600
