Date,Day of the Week,Amount,Description,Category,Method of Payment
1/20/2023,Friday,15,Sky Grill,Food,SAM Card
1/20/2023,Friday,26.07,Doordash,Food,VISA
1/21/2023,Saturday,106.66,Groceries,Food,Apple Pay
1/21/2023,Saturday,11.4,Starbucks,Beverage,Apple Pay
1/22/2023,Sunday,7.76,CVS,Food,Apple Pay
1/22/2023,Sunday,23.88,Beauty Supply,Hair Products,Apple Pay
1/22/2023,Sunday,8.28,Safeway,Food,Apple Pay
1/23/20223,Monday  ,8.25,Sky Grill,Food,SAM Card
1/23/2023,Monday  ,5,BART,Transportation,Clipper
1/24/2023,Tuesday,8.25,Sky Grill,Food,SAM Card
1/25/2023,Wednesday,6.93,Boba Guys,Beverage,Apple Pay
1/25/2023,Wednesday,36.49,Doordash,Food,VISA
1/26/2023,Thursday,3,Book Store,Food,SAM Card
1/26/2023,Thursday,10,Sky Grill,Food,SAM Card
1/27/2023,Friday,5,Book Store,Food,SAM Card
1/27/2023,Friday,11.98,VengaEmpanada,Food,Apple Pay
1/28/2023,Saturday,20.38,Jamba Juice,Food,Apple Pay
1/28/2023,Saturday,70,Beauty Supply,Hair Products,Cash
1/28/2023,Saturday,4.65,Cinemark,Food,Apple Pay
1/29/2023,Sunday,0,,,
1/30/2023,Monday  ,5,Book Store,Beverage,SAM Card
1/31/2023,Tuesday,5,Book Store,Beverage,Apple Pay
1/31/2023,Tuesday,3.65,BART,Transportation,Clipper
